facilityid,id_overall,sd,smp,hs,s1,group,type,teach_num,sup_pnpm,sup_gov,sup_uni,sup_private,sup_ngo,sup_himpaudi,sup_socind,freq_wk,duration,tot_student,ratio,room_age_separate,parents_inv,refresher_training,visit_gov,room_avail,book,book_no,clean_water,toilet,bin,sink,weight_scale,heigth,head_measure,firstaid,facilities,population,household,poor_hh,poor_pct,poor_level,bpd,bpd_meet,cp_koperasi,cp_gotong_royong,cp_karangta3a,cp_health,cp_women,cp_labor,mean_cp,safe_play,safe_clean,safe_availplayground,safe_noharm,safe_noconflict,safe_ownership,mean_safe,pp_raskin,pp_blt,pp_pkh,pp_jamkesmas,pp_kur,pp_wash,pp_pnpminf,pp_pnpmeco,pp_pnpmsoc,pp_pnpmgen,mean_pp,market,capital_district,capital_regency,capital_prov,bank,terminal,health_service,hospital,primary_sc,junior_sc,high_school,university
132002,3.29,0,0,1,0,treatment,KB,1,No,Yes,No,No,No,No,No,5,120,15,15,1,Yes,Yes,1,1,1,17,1,0,1,1,1,1,1,1,27,1673,448,175,39.0625,Moderate-High,Yes,3,4,3,3,4,4,4,3.666666667,3,3,3,4,4,4,3.5,1,3,3,4,1,3,3,4,4,4,3,1,6,39,152,1,25,1,39,0.01,6,5,39
132102,1.9,0,0,0.25,0.75,control,TK,4,Yes,Yes,No,No,Yes,No,Yes,6,105,36,9,1,Yes,Yes,0,2,1,4,0,0,1,0,0,0,0,0,16,1673,448,175,39.0625,Moderate-High,Yes,3,4,3,3,4,4,4,3.666666667,3,3,3,4,4,4,3.5,1,3,3,4,1,3,3,4,4,4,3,1,6,39,152,1,25,1,39,0.01,6,5,39
133101,1.685,0,0,0,1,control,TK,2,No,Yes,No,No,No,No,No,6,90,32,16,0,Yes,No,0,1,1,20,0,0,1,0,0,0,0,2,13,1943,569,413,72.58347979,High,Yes,7,4,4,3,4,4,4,3.833333333,4,2,1,3,4,3,2.833333333,1,2,4,4,3,4,4,4,1,1,2.8,5,5,26,136,5,5,5,26,0.200000003,5,5,26
133401,0.97,0.4,0.6,0,0,control,TPQ,10,No,Yes,No,No,No,No,No,6,95,68,7,0,Yes,No,0,4,1,10,1,0,2,0,0,0,0,0,7,1943,569,413,72.58347979,High,Yes,7,4,4,3,4,4,4,3.833333333,4,2,1,3,4,3,2.833333333,1,2,4,4,3,4,4,4,1,1,2.8,5,5,26,136,5,5,5,26,0.200000003,5,5,26
134001,2.58,0,0,1,0,treatment,KB,1,No,Yes,No,No,No,No,No,4,120,14,14,0,Yes,Yes,2,2,1,30,1,1,1,1,1,1,1,1,23,900,250,103,41.2,High,Yes,6,4,4,3,4,4,4,3.833333333,3,3,3,3,3,3,3,1,2,1,4,1,1,3,4,4,1,2.2,5,5,28,138,5,5,5,28,0.5,2,6,28
134101,2.195,0,0,0,1,control,TK,2,No,Yes,No,No,No,No,No,6,120,21,11,0,No,Yes,0,1,3,,0,0,1,2,2,1,0,2,18,900,250,103,41.2,High,Yes,6,4,4,3,4,4,4,3.833333333,3,3,3,3,3,3,3,1,2,1,4,1,1,3,4,4,1,2.2,5,5,28,138,5,5,5,28,0.5,2,6,28
135001,3.155,0,0,1,0,treatment,KB,2,No,Yes,No,No,No,No,No,4,150,21,11,1,Yes,Yes,3,2,1,83,1,1,1,1,1,1,1,1,28,1897,572,362,63.28671329,High,Yes,3,4,4,3,1,4,4,3.333333333,3,3,3,3,3,3,3,1,2,4,4,4,4,4,4,4,1,3.2,6,6,27,47,6,6,1.5,27,0.01,3,6,27
135101,3.025,0,0,0,1,control,TK,2,No,Yes,No,No,No,No,No,6,90,24,12,0,Yes,Yes,12,1,1,30,1,1,1,0,1,1,0,2,24,1897,572,362,63.28671329,High,Yes,3,4,4,3,1,4,4,3.333333333,3,3,3,3,3,3,3,1,2,4,4,4,4,4,4,4,1,3.2,6,6,27,47,6,6,1.5,27,0.01,3,6,27
136101,2.695,0.25,0,0,0.75,control,TK,4,No,Yes,No,No,Yes,No,Yes,6,90,50,13,1,Yes,Yes,0,2,1,5,1,1,1,1,1,1,0,1,25,1855,469,305,65.03198294,High,Yes,2,4,1,4,4,4,4,3.5,3,3,3,3,3,3,3,1,2,4,4,1,4,4,1,1,1,2.3,3,12,25,246,12,15,12,20,0.01,0.050000001,0.050000001,25
136201,2.955,0,0,0.5,0.5,control,KB,2,No,Yes,No,No,No,No,No,6,90,24,12,1,Yes,Yes,0,1,1,20,1,1,1,1,1,1,1,1,25,1855,469,305,65.03198294,High,Yes,2,4,1,4,4,4,4,3.5,3,3,3,3,3,3,3,1,2,4,4,1,4,4,1,1,1,2.3,3,12,25,246,12,15,12,20,0.01,0.050000001,0.050000001,25
